Artikelbezeichnung;Pharmacode;EAN-Code;alessandra.schwarz@coop.ch
AQUILEA Relax Kaps 48 Stk;7828572;4.26002E+12;
AQUILEA Relax To Go Tropfen Pip Fl 20 ml;7828574;4.26002E+12;
ARCAYA Ampoules Collagen+ 5 x 2 ml;7312576;4.26003E+12;
ARCAYA Ampoules Elastin Age Stop 5 x 2 ml;7767774;4.26003E+12;
ARCAYA Ampoules Hyaluron Plus 5 x 2 ml;7312607;4.26003E+12;
ARCAYA Ampoules Oxygen 5 x 2 ml;7312441;4.26003E+12;
ARCAYA Ampoules SOS Extrem 5 x 2 ml;7312613;4.26003E+12;
ARCAYA Ampoules White Vision 5 x 2 ml;7312458;4.26003E+12;
ARGILETZ Heilerde grün Plv fein Btl 1 kg;7847435;3.3261E+12;
ARGILETZ Heilerde grün Plv ultra fein 300 g;2598645;3.3261E+12;
ARIANNA Baby Nasensauger;5483115;5.99988E+12;
ARKOCAPS Artischocken Kaps 200 mg VG Ds 45 Stk;3413151;7.68057E+12;
ARKOCAPS Komplex Teufelskralle+Kurkuma Kaps 40 Stk;7737955;7.64011E+12;
ARKOCAPS Pflanzenkohle Kaps 225 mg 45 Stk;7814861;7.68054E+12;
ARKOROYAL Gelée Royale 1000 mg Bio Trinkamp 20 Stk;7572314;7.64011E+12;
ARNIGEL Boiron Gel Tb 45 g;2691066;7.68056E+12;
AROMALIFE Abwehrstark Aromaspray 30 ml;7277153;7.64015E+12;
AROMALIFE ARVE Raumduft 500 ml;7843738;7.64048E+12;
AROMALIFE Blutorange Äth/Öl BIO 10 ml;4076626;7.64011E+12;
AROMALIFE Duftmischung Energie Fl 10 ml;7741610;7.64015E+12;
AROMALIFE Duftmischung Reine Atmosphäre 10 ml;3321213;7.64011E+12;
AROMALIFE Duftmischung Sternenklar 10 ml;3321242;7.64011E+12;
AROMALIFE Duftmischung Winterzauber 10 ml;7742780;7.64015E+12;
AROMALIFE Grapefruit Äth/Öl BIO Fl 10 ml;4078571;7.64011E+12;
AROMALIFE Hanföl BIO Fl 75 ml;7049311;7.64015E+12;
AROMALIFE Johanniskrautöl BIO 75 ml;7049268;7.64015E+12;
AROMALIFE Lavendel  Glasglocke-Set äth Öl;7447566;7.64015E+12;
AROMALIFE Lemongras Äth/Öl BIO Fl 10 ml;4079151;7.64011E+12;
AROMALIFE Lorbeer Äth/Öl BIO 5 ml;4079487;7.64015E+12;
AROMALIFE Mandarine rot Äth/Öl BIO 10 ml;4078996;7.64011E+12;
AROMALIFE Ravintsara Äth/Öl BIO 5 ml;4079582;7.64011E+12;
AROMALIFE Rose Äth/Öl 10 % 5 ml;4079406;7.64011E+12;
AROMALIFE Schwarzkümmelöl BIO Fl 75 ml;7049280;7.64015E+12;
AROMALIFE Tanne weiss Äth/Öl Schweiz BIO Fl 5 ml;4079702;7.64015E+12;
AROMALIFE Vanille Extrakt Äth/Öl BIO 5 ml;4079843;7.64011E+12;
AROMALIFE Wintergrün Äth/Öl BIO 10 ml;4079961;7.64011E+12;
ARTDECO Camouflage 496 6 Stick;3393750;4.01967E+12;
ARTDECO Eye Designer Refill 27 02;3377076;4.01967E+12;
ARTDECO Eye Designer Refill 27 23;7319839;4.05214E+12;
ARTDECO Eye Designer Refill 27 39;7319845;4.05214E+12;
ARTDECO Eyeshadow 3 219;7319650;4.05214E+12;
ARTDECO Eyeshadow Matt 30 530;3391834;4.01967E+12;
ARTDECO Eyeshadow Pearl 30 39;3392383;4.01967E+12;
ARTDECO Full Mat LipColor 62 1881 62;7143501;4.05214E+12;
ARTDECO High Performance Lipstick 12.450;3675980;4.01967E+12;
ARTDECO Long Lasting Foundation Oilfree 483 10;4049351;4.01967E+12;
ARTDECO Long Lasting Foundation Oilfree 483 30;4049322;4.01967E+12;
ARTDECO Mineral Eye Styler 336 95;7319756;4.05214E+12;
ARTDECO Soft Eyeliner Waterproof 221 98;4651711;4.01967E+12;
ARTELAC Splash EDO Gtt Opht 10 Monodos 0.5 ml;4875474;4.04965E+12;
ASKINA Pad S Schlitzkompr 5x5cm ster 30 Stk;2409874;4.0225E+12;
ASSAN Gel Tb 50 g;1491017;7.68045E+12;
AUDISPRAY Dolo Gtt Auric Fl 7 g;7772156;7.64011E+12;
AUDISPRAY Junior Ohrenhygiene Spr 25 ml;3626556;7.64011E+12;
AUDISPRAY Ultra Ohrenpfropfen 20 ml;7713648;7.64011E+12;
AVENE Antirougeurs Reinigungsmilch FHD 200 ml;7184167;3.28277E+12;
AVENE Augen MakeUp Entferner Waterproof 125 ml;7456602;3.28277E+12;
AVENE Body Deodorant Roll-on 24h (neu) 50 ml;1003144;3.28277E+12;
AVENE Cicalfate+ Akutpflege Emulsion Tb 40 ml;7845023;3.28277E+12;
AVENE Cleanance Comedomed Lokale Anti-Unrein 15 ml;7809456;3.28277E+12;
AVENE Cold Cream Creme 100 ml;2320482;3.28278E+12;
AVENE Cold Cream Intensiv-Handcreme FHD 50 ml;6704340;3.28277E+12;
AVENE Couvrance Korrekturstick gelb 3 g;4770433;3.28278E+12;
AVENE Duo Pack 2 x 150 ml -20% ETA DF;7390381;3.28278E+12;
AVENE Hydrance BB leicht SPF30 40 ml;7740335;3.28277E+12;
AVENE Mattierendes Feuchtigkeitsfluid 50 ml;7736345;3.28277E+12;
AVENE Milder Augen Make up Entferner 125 ml;2964392;3.28278E+12;
AVENE Mizellengel Fl 200 ml;7851102;3.28277E+12;
AVENE Mizellenwasser Fl 400 ml;7851116;3.28277E+12;
AVENE Nutritive Creme reichhaltig 50 ml;7736348;3.28277E+12;
AVENE Reinigungsschaum Disp 150 ml;7851101;3.28277E+12;
AVENE SUN After-Sun Repair Lotion Disp 400 ml;7851119;3.28277E+12;
AVENE SUN Cleanance Sonne getönt SPF50+ 50 ml;7849687;3.28277E+12;
AVENE Tolér Hydra-10 Feuchtigkeitscr Tb 40 ml;7838316;3.28277E+12;
AVENE Tolér Hydra-10 Feuchtigkeitsflu Tb 40 ml;7838317;3.28277E+12;
AVENE TriXéra Pflegemilch reichhaltig FHD 400 ml;6767754;3.28277E+12;
AVENE XeraCalm A.D Reinigungsöl rückfettend 400 ml;7814580;3.28277E+12;
AXE Deo Bodyspray Africa 150 ml;7647555;8.71045E+12;
B. BRAUN Combi Verschlusskon bl Luer Lock 100 Stk;2124404;4.0225E+12;
BABYLISS Haarglätter Ceramic 230;7743764;3.03005E+12;
BACH-BLÜTEN Original Beech No03 20 ml;2544508;7.41273E+11;
BACHBLüTENMISCHUNG 30 ML 230123mei1;10006693;NA;
BACHBLüTENMISCHUNG 50 ML (4-6 BLüTEN);10012721;NA;
BACTOFLOR für Kinder Plv Ds 60 g;5976898;7.63E+12;
BAKTOLAN protect Hautschutz Salbe Tb 100 ml;1441031;4.03168E+12;
BAKTOLAN protect+pure Tb 100 ml;4953429;4.03168E+12;
BAXX-PRO Waschgel Fl 150 ml;7851237;7.64011E+12;
BD MICROLANCE 3 Inj Kanüle 0.50x25mm orang 100 Stk;2011290;3.03829E+12;
BD MICROLANCE 3 Inj Kanüle 0.55x25mm lila 100 Stk;2210629;3.03829E+12;
BE THE CHANGE Multi Protein Shake Royal Van 300g;10016474;7.64016E+12;
BE THE CHANGE Multi Protein Shake Royal Vani 225 g;7848849;7.64016E+12;
BE THE CHANGE Multi Protein Shake Royal Vani 525 g;7848848;7.64016E+12;
BE THE CHANGE Nut Bio Cacao Honey&Almond 20 g;7835947;7.64016E+12;
BE THE CHANGE Nut Bio Cacao Honey&Raspbe 20 g;7835948;7.64016E+12;
BE THE CHANGE Nut Bite Cacao Honey & Almond 20g;10016481;7.64016E+12;
BE THE CHANGE Nut Bite Cacao Honey & Raspberry 20g;10016480;7.64016E+12;
BE THE CHANGE Prot Porr Dates Figs Bio 1080 g;7836489;7.64016E+12;
BE THE CHANGE Prot Porridge Berries 540g;10016479;7.64016E+12;
BE THE CHANGE Prot Porridge Chocolate & Cacao 540g;10016478;7.64016E+12;
BE THE CHANGE Protein Porr Berries Bio 480 g;7836491;7.64016E+12;
BE THE CHANGE Regeneration Shake 400g;10016588;NA;
BE THE CHANGE Shaker;10016141;1.0219E+11;
BE THE CHANGE Vitamin D3 & K2 & Omega 3 Glas 90Stk;10016477;7.64016E+11;
BE-JOUX 50004 Nasenschm Spirale Bez CZ weiss Tit;7810917;7.64042E+12;
BE-JOUX 51002 Creole 12mm 1 Paar;7825447;7.64042E+12;
BE-JOUX 51029 Earcuff 2 Ringe 1 Paar;7825473;7.64042E+12;
BE-JOUX 51082 Hänger 10mm Kreole Triangle 1 Paar;1009780;7.64042E+12;
BEKRA MINERAL Deo Kristall Stick 120 g;1641557;9.00298E+12;
BEN&ANNA Duschflakes Mint&Lemon;10016039;4.26049E+12;
BEN&ANNA Duschflakes Sweet;7848852;4.26049E+12;
BEN&ANNA Duschgelspender;7848856;4.26049E+12;
BEN&ANNA ZUSATZA Wolkenspender;7820345;4.26049E+12;
BEPANTHEN DERMA Nährende Körperlotion 200 ml;7783959;7.64011E+12;
BEPANTHEN DERMA Reparierend Körperbalsam 200 ml;7783963;7.64011E+12;
BEPANTHEN DERMA Sanftes Duschgel Disp 400 ml;7783967;7.64011E+12;
BEPANTHEN DERMA Sanftes Duschgel Fl 200 ml;7783964;7.64011E+12;
BEPANTHEN Lös Fl 100 ml;790700;7.68013E+12;
BEPANTHEN MED Nasensalbe 50 mg/g 2 Tb 5 g;7834041;7.68046E+12;
BEPANTHEN MED Plus Spray Fl 30 ml;7811073;7.68052E+12;
BEPANTHEN PRO Hydrogel Tb 50 g;7784098;7.64011E+12;
BEPPY Soft Comfort Tampons Wet 8 Stk;3818149;8.71478E+12;
Berberis/Cydonia Nasenspray comp Nasenspray 10 ml (KLA);10016402;NA;
BERGLAND Rosenwasser 100 ml;1605053;4.01518E+12;
BERGLAND Rosenwasser 250 ml;1605076;4.01518E+12;
BERGLAND Teebaum Zahncreme 50 ml;1704016;4.01518E+12;
BEROCCA PRO Boost Brausetabl 30 Stk;7850596;7.64011E+12;
BETADINA desinfizierende Wundsalbe 10 mg/g 100 g;7781858;7.68068E+12;
BETADINA desinfizierendes Mund-u Rachenspray 50 ml;7785725;7.68068E+12;
BETADINE Advanced Wundgel Tb 50 g;7794414;7.61181E+12;
Betavert N (IMP D) 24mg 100 Tabl.;10016591;NA;
BEURER Lanzetten steril 4 x 25 Stk;4809247;4.21113E+12;
BEZUGS-CHECK;10000144;NA;
BIATAIN Alginate Ag 10x10cm (neu) 10 Stk;7795528;5.03275E+12;
BIATAIN Non-Adhesive 5x7cm 10 Stk;5395084;5.70893E+12;
BIATAIN Silicone Lite Schaumv 5x5cm 5 Stk;6444784;5.70893E+12;
BILASTO Kniebandage Thermo XL beige;2956843;7.64011E+12;
BILAXTEN Schmelztabl 20 mg 10 Stk;7849826;7.68068E+12;
BILAXTEN Schmelztabl 20 mg 30 Stk;7849828;7.68068E+12;
BILAXTEN Schmelztabl 20 mg 50 Stk;7849829;7.68068E+12;
BILAXTEN Tabl 20 mg (#) 10 Stk;5127432;7.68061E+12;
BILAXTEN Tabl 20 mg (#) 30 Stk;5127449;7.68061E+12;
BILAXTEN Tabl 20 mg (#) 50 Stk;5127455;7.68061E+12;
BILAXTEN Tabl 20 mg 10 Stk;7853304;7.68061E+12;
BILAXTEN Tabl 20 mg 30 Stk;7853306;7.68061E+12;
BILAXTEN Tabl 20 mg 50 Stk;7853307;7.68061E+12;
BIMBOSAN Bio 1 Säugling Reise 5 x 25 g;7772016;7.61099E+12;
BIMBOSAN Bio Hafer-Dinkel Ds 300 g;7824775;7.6132E+12;
BIMBOSAN Bio-7 refill Btl 300 g;2696690;7.61099E+12;
BIMBOSAN Bio-Mais-Milchbrei 280 g;7770821;7.61099E+12;
BIMBOSAN Classic 1 Säugling Reise 5 Btl 25 g;7772017;7.61099E+12;
BIODERMA Atoderm Inten Baume Ultra Apais 500 ml;7765520;3.70113E+12;
BIODERMA Sensibio H2O Eye 125 ml;7825134;3.40136E+12;
BIONATURIS Soja Lecithin Kaps 500 mg 120 Stk;7515724;7.64015E+12;
BIOPECIN Elixier Fl 50 ml;7759840;7.61226E+12;
BIOPECIN Lotion Fl 150 ml;7759841;7.61226E+12;
BIOSANA Molke Eiweiss Plv Vanille 350 g;6824535;7.6401E+12;
BIOSUN traditional Ohrkerzen 3 Paar;6361377;4.02934E+12;
BIOTIN Biomed plus Kaps 120 Stk;7852262;7.61133E+12;
BIOTIN Biomed plus Kaps 60 Stk;7852261;7.61133E+12;
BIOTTA Mein Safttag Set 2 Fl 5 dl;7822263;7.6185E+12;
BIOTTA Vital Immun Fl 5 dl;7627067;7.6185E+12;
BIOVEGAN Mein Ciabatta Brotbackmisch veg 500 g;7825341;4.00539E+12;
BIOVEGAN Mein Krusten Brot Brotbackmisch veg 500 g;7825339;4.00539E+12;
BIOVIGOR Sirup 3 Fl 100 ml;7187450;7.68054E+12;
BIOVIN biologischer Aktivdünger Plv 1 kg;2950444;9.00167E+12;
BISOLVON DUAL 2in1 Hustensirup Fl 100 ml;7741612;7.61018E+12;
BLOXAPHTE Oral Care Junior Gel Tb 15 ml;7448850;4.04965E+12;
BODYGUARD Pfefferspray;2249034;2.01283E+12;
BOROTALCO Deo Active Spray Mandar Nero 150 ml;7771713;8.00241E+12;
BOROTALCO Deo Original Stick 40 ml;5213918;80512134;
BOROTALCO Men Deo Spray Amber 150 ml;7817138;8.00241E+12;
BORT Abdominalst Schwangere 90cm -105cm Gr1 weiss;2176275;4.00586E+12;
BORT CLIMACARE Gelenkwärmer L beige;2296401;4.00586E+12;
BORT CLIMACARE Leibwärmer L beige;2296275;4.00586E+12;
BORT CLIMACARE Leibwärmer M beige;2296269;4.00586E+12;
BORT CLIMACARE Leibwärmer S beige;2296252;4.00586E+12;
BORT KubiTal Ellenbogen-Polster-Band M -28cm blau;2304974;4.00586E+12;
BORT MANUSTABIL Handgelenk kurz M li schwarz;4383860;4.00586E+12;
BORT MANUSTABIL Handgelenk kurz M re schwarz;4380382;4.00586E+12;
BORT Manustabil Handgelenkban -17cm GrS 25cm grau;7752331;4.00586E+12;
BORT Narbenbruch-Bandage Gr3 21cm weiss;5070666;4.00586E+12;
BORT PediSoft Zehenspreizer S m doppel Ring 1 Paar;6853301;4.00586E+12;
BORT SellaTex Classic M links grau;7753337;4.00586E+12;
BOSO Manschette medicus smart XL;7223654;4.00243E+12;
BRONCHOSTOP DUO Hustensaft Fl 200 ml;7766044;7.68065E+12;
BRUMEXX Lutschtabl Blist 30 Stk;7488111;7.63E+12;
BURGERSTEIN Beta-Carotin Kaps Ds 100 Stk;7831881;7.64012E+12;
BURGERSTEIN ChondroVital Tabl Ds 90 Stk;7835476;7.64012E+12;
BURGERSTEIN Chromvital Tabl Disp 150 Stk;7818635;7.64012E+12;
BURGERSTEIN ImmunVital Saft Btl 20 Stk;6377183;7.64012E+12;
BURGERSTEIN L-Carnitin Tabl Ds 100 Stk;2663348;7.64012E+12;
BURGERSTEIN L-Methionin Tabl 100 Stk;2663377;7.64012E+12;
BURGERSTEIN Magnesiumvital direct Stick 30 Stk;1000935;7.64012E+12;
BURGERSTEIN OsteoVital forte Tabl (#) 180 Stk;6130821;7.64012E+12;
BURGERSTEIN OsteoVital forte Tabl 120 Stk;7833633;7.64012E+12;
BURGERSTEIN Vitamin C Ret Kaps 500 mg Ds 30 Stk;6739172;7.68044E+12;
BURGERSTEIN Zinkvital Tabl 14 mg Ds 100 Stk;7849622;7.64012E+12;
CALCIMAGON D3 Kautabl 500/400 Zitrone 60 Stk;7174039;7.68054E+12;
CALMOR Gehörschutzstöpsel Wachs 20 Stk;702009;7.6116E+12;
CALPEROS D3 Lutschtabl nature Ds 180 Stk;6208836;7.68055E+12;
Capsaicin-Softcrème KA 0.025% 90 g Tube;10016403;NA;
Capsaicinsalbe 0.025% GE 90g;10016318;NA;
Capsaicinsoftcreme 0.025% 30g Tube;10016441;NA;
Capsaicinsoftcrème 0.05% 90g Tube;10016317;NA;
CELYOUNG Fersen und Fusscreme Tb 100 ml;3031343;2.01515E+12;
CERAVE Anti-Unreinheiten Gel Tb 40 ml;7835766;3.33788E+12;
CERAVE Creme-zu-Schaum Reinigung Hydratant 236 ml;7815119;3.33788E+12;
CERAVE Feuchtigkeitsspend Gesichtscr LSF30 52 ml;7852661;3.33788E+12;
CERAVE Hautbilderneuernd Retinol Serum Disp 30 ml;7835767;3.33788E+12;
CERAVE Porentiefe Reinigung Fl 236 ml;7835765;3.33788E+12;
CERES Betula pendula folium Urtinkt Fl 20 ml;1667628;7.64016E+12;
CERES Euphrasia Urtinkt Fl 20 ml;1667717;7.64016E+12;
CERES Ribes nigrum folium Urtinkt 20 ml;1667887;7.64016E+12;
CETAPHIL Reinigungslotion Disp 460 ml;7833831;3.49932E+12;
CEYLOR Extra Strong Präservativ 6 Stk;7766667;7.6147E+12;
CHI ENERGY Spray 100 ml;7807048;7.64016E+12;
CHICCO Physioclean Nasenschleimentfern 0m+;5477066;8.00367E+12;
CHINA-BALSAM Temple of Heaven Topf 30 g;1402640;7.68047E+12;
CHINAMED Emuls Tb 250 ml;2504785;7.68056E+12;
Chininsulfat 250mg Kapseln 100 Stk;10016285;NA;
Chlorhexidin 0.1% - Salicylspiritus 2% 200 ml;10015397;NA;
CICA-CARE Silikongel Verband 6x12cm Btl;2254762;5.00022E+12;
CICATRIDINA Vaginalzäpfchen 10 Stk;2630679;8.0326E+12;
COBAGIN Salbe Disp 75 ml;6994415;6.02573E+11;
Cobas B 101 CRP Test einzeln;10016580;NA;
Cobas B 101 Lipid Panel einzeln;10016581;NA;
Cold cream 250g;10016340;NA;
Coldcream KA 250.0 g in Salbentopf;10016389;NA;
COMODYNES Self Tanning Tücher 8 Stk;2526284;8.42875E+12;
CONTAM Vaginaltampon 33mm Extra 5 Stk;2126975;4.03512E+12;
CONTOUR NEXT Blutzuckermessgerät;7830311;5.016E+12;
Contour Next Blutzuckermessgeräte Gratisgerät;10016418;NA;
Contour XT Blutzuckermessgeräte Gratisgerät;10015737;NA;
CONVEEN OPTIMA Kondomurinal selbst 30mm/8cm 30 Stk;3450560;5.70893E+12;
CONVEEN Security Plus Nachtbe unster 2000ml 10 Stk;5805990;5.70178E+12;
CORYT Care 100 ml;5976390;4.26014E+12;
COSANUM Absaugkatheter CH10 53cm gebogen 100 Stk;2938785;5.70524E+12;
COSANUM Absaugkatheter CH10 53cm gerade 100 Stk;2938791;5.70524E+12;
CRATAEGUS Synpha Tropfen Fl 100 ml;1981945;7.68014E+12;
CREON 10000 Kaps Fl 50 Stk;6723366;7.68038E+12;
CURAPROX baby Schnuller Gr0 pink single;7758649;7.61241E+12;
CURAPROX CPS 11 start Interdentalbürsten;7744806;7.61241E+12;
CURAPROX CPS 405 Perio Interdent ref che pi 5 Stk;7804658;7.61241E+12;
CURAPROX CS 1009 Bürste 9mm Single;2362032;7.61241E+12;
CURAPROX CS 5460 ortho ultra soft Zahnbürste;4578167;7.61241E+12;
CURAPROX CS smart Blister three-pack;7647093;7.61241E+12;
CURAPROX CTC 203 Zungenreiniger Duo;7846314;7.61241E+12;
CURAPROX DF 845 Implant & Braces Floss 50 Stk;5133585;7.61241E+12;
CURAPROX LS 631 Interdentalbürsten 8 Stk;1890266;7.61241E+12;
CURAPROX LS 632 Interdentalbürsten 8 Stk;1890272;7.61241E+12;
CUTICELL Salbenkompresse 7.5x20cm 10 Stk;6397754;4.04281E+12;
CUTIMED Sorbact Tamponade 2x50cm steril 20 Stk;7761561;4.04281E+12;
